School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Network Manager,Collaborative Name,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment,Community Area Name
610506,TEAM Englewood Community Academy High School,HS,6201 S Stewart Ave ,Chicago,IL,60621,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,45,48,55,53,74,68,58,49,0.873,8.2,0.965,7.9,,,440,ENGLEWOOD
609921,Telpochcalli Elementary School,ES,2832 W 24th Blvd ,Chicago,IL,60623,Pilsen-Little Village Elementary Network,WEST SIDE COLLABORATIVE,42,48,19,22,82,69,55,51,0.954,2.7,0.947,,,,285,SOUTH LAWLE
609991,Theodore Herzl Elementary School,ES,3711 W Douglas Blvd ,Chicago,IL,60623,Austin-North Lawle Elementary Network,WEST SIDE COLLABORATIVE,41,,53,65,,,,,0.908,23.9,0.97,,,,512,NORTH LAWLE
609728,Theodore Roosevelt High School,HS,3436 W Wilson Ave ,Chicago,IL,60625,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,42,,42,37,,,,,0.823,9.7,0.961,13.7,59.4,42.9,1490,ALBANY PARK
610178,Theophilus Schmid Elementary School,ES,9755 S Greenwood Ave ,Chicago,IL,60628,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,46,,31,53,,,41,52,0.921,67.1,0.963,,,,185,PULLMAN
609794,Thomas A Edison Regional Gifted Center Elementary School,ES,4929 N Sawyer Ave ,Chicago,IL,60625,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,91,,64,56,,,55,57,0.966,1.9,0.963,,,,269,ALBANY PARK
609987,Thomas A Hendricks Elementary Community Academy,ES,4316 S Princeton Ave ,Chicago,IL,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,33,,67,78,,,51,52,0.912,61.8,0.956,,,,307,FULLER PARK
609851,Thomas Chalmers Specialty Elementary School,ES,2745 W Roosevelt Rd ,Chicago,IL,60608,Austin-North Lawle Elementary Network,WEST SIDE COLLABORATIVE,34,76,39,45,88,78,,,0.944,3.4,0.973,,,,288,NORTH LAWLE
609896,Thomas Drummond Elementary School,ES,1845 W Cortland St ,Chicago,IL,60622,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,72,,59,46,,,58,48,0.952,0.3,0.967,,,,352,LOGAN SQUARE
610002,Thomas Hoyne Elementary School,ES,8905 S Crandon Ave ,Chicago,IL,60617,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,67,66,77,73,67,66,,,0.948,0,0.954,,,,288,CALUMET HEIGHTS
610295,Thomas J Higgins Elementary Community Academy,ES,11710 S Morgan St ,Chicago,IL,60643,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,,,,,,,49,53,0.952,0.5,0.952,,,,369,WEST PULLMAN
610220,Thomas J Waters Elementary School,ES,4540 N Campbell Ave ,Chicago,IL,60625,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,85,,56,54,,,52,49,0.961,0.4,0.951,,,,590,LINCOLN SQUARE
609715,Thomas Kelly High School,HS,4136 S California Ave ,Chicago,IL,60632,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,36,53,36,35,61,57,,,0.893,5.8,0.953,22.1,67.4,46.4,2883,BRIGHTON PARK
610321,Thurgood Marshall Middle School,MS,3900 N Lawle Ave ,Chicago,IL,60618,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,39,,11,1,,,,,0.94,18.1,0.96,,,,435,IRVING PARK
609895,Turner-Drew Elementary Language Academy,ES,9300 S Princeton Ave ,Chicago,IL,60620,Rock Island Elementary Network,FAR SOUTH SIDE COLLABORATIVE,56,56,48,51,75,66,,,0.958,24,0.952,,,,373,ROSELAND
610394,Uplift Community High School,HS,900 W Wilson Ave ,Chicago,IL,60640,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,50,50,61,62,48,53,,,0.887,8.1,0.959,19.6,62.4,65,473,UPTOWN
610504,Velma F Thomas Early Childhood Center,ES,3625 S Hoyne Ave ,Chicago,IL,60609,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,,,,,,,55,57,,0,0.956,,,,211,MCKINLEY PARK
609989,Victor Herbert Elementary School,ES,2131 W Monroe St ,Chicago,IL,60612,Fulton Elementary Network,WEST SIDE COLLABORATIVE,50,52,64,72,48,50,50,52,0.928,10.3,0.962,,,,398,NEAR WEST SIDE
609944,Virgil Grissom Elementary School,ES,12810 S Escanaba Ave ,Chicago,IL,60633,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,62,66,51,64,69,87,,,0.955,2.5,0.964,,,,330,HEGEWISCH
610518,VOISE Academy High School,HS,231 N Pine Ave ,Chicago,IL,60644,West Side High School Network,WEST SIDE COLLABORATIVE,42,,52,52,,,,,0.845,25,0.965,,,,410,AUSTIN
610363,Walt Disney Magnet Elementary School,ES,4140 N Marine Dr ,Chicago,IL,60613,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,,,,,,,,,0.964,7.7,0.964,,,,1651,UPTOWN
610095,Walter L Newberry Math & Science Academy Elementary School,ES,700 W Willow St ,Chicago,IL,60614,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,71,74,52,66,41,44,54,47,0.951,2.1,0.963,,,,558,LINCOLN PARK
609680,Walter Payton College Preparatory High School,HS,1034 N Wells St ,Chicago,IL,60610,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,98,,80,77,,,,,0.934,0.7,0.961,96.4,96.9,82.4,881,NEAR NORTH SIDE
609955,Walter Q Gresham Elementary School,ES,8524 S Green St ,Chicago,IL,60620,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,25,49,7,11,68,57,48,46,0.955,35.4,0.95,,,,359,AUBURN GRESHAM
