Date,Bullish,Neutral,Bearish,Total,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
11/17/2011,0.4193,0.2701,0.3104,1,1277.55,1226.64,1236.91
11/10/2011,0.4473,0.307,0.2456,1,1277.55,1215.42,1229.1
11/3/2011,0.4018,0.302,0.2962,1,1292.66,1215.42,1237.9
10/27/2011,0.43,0.32,0.25,1,1256.55,1191.48,1242
10/20/2011,0.3598,0.2941,0.346,1,1233.1,1187.3,1209.88
10/13/2011,0.3977,0.2386,0.3636,1,1220.25,1074.77,1207.25
10/6/2011,0.3523,0.1904,0.4571,1,1195.86,1074.77,1144.04
9/29/2011,0.3251,0.2068,0.4679,1,1220.39,1114.22,1151.06
9/22/2011,0.2533,0.2667,0.48,1,1220.39,1157.44,1166.76
9/15/2011,0.305,0.2815,0.4135,1,1204.4,1136.07,1188.68
9/8/2011,0.3022,0.295,0.4029,1,1229.29,1140.13,1198.62
9/1/2011,0.3862,0.2904,0.3234,1,1230.71,1135.91,1218.89
8/25/2011,0.3644,0.226,0.4096,1,1190.68,1121.09,1159.27
8/18/2011,0.3556,0.2462,0.3982,1,1208.47,1121.3,1193.88
8/11/2011,0.3343,0.2179,0.4478,1,1260.23,1101.54,1120.76
8/4/2011,0.2716,0.2299,0.4985,1,1316.32,1234.56,1260.34
7/28/2011,0.3784,0.3074,0.3142,1,1347,1303.49,1304.89
7/21/2011,0.3986,0.2954,0.3061,1,1330.43,1295.92,1325.84
7/14/2011,0.3931,0.3145,0.2925,1,1356.48,1313.33,1317.72
7/7/2011,0.4177,0.3354,0.2468,1,1341.01,1334.3,1339.67
6/30/2011,0.3831,0.3149,0.3019,1,1309.21,1296.85,1307.41
6/23/2011,0.3746,0.268,0.3574,1,1298.61,1286.79,1295.52
6/16/2011,0.29,0.2825,0.4275,1,1294.54,1279.63,1289
6/9/2011,0.2442,0.2791,0.4767,1,1312.94,1297.9,1300.16
6/2/2011,0.3018,0.3639,0.3343,1,1345.2,1314.41,1314.55
